"","ID","benevolent_score","hostile_score","overall_score","gender"
"1",1,1.09090909090909,0.818181818181818,0.954545454545455,"Male"
"2",2,0.909090909090909,0.0909090909090909,0.5,"Female"
"3",3,0.727272727272727,0.363636363636364,0.545454545454545,"Male"
"4",4,1.90909090909091,2.45454545454545,2.18181818181818,"Female"
"5",5,1.45454545454545,1.90909090909091,1.68181818181818,"Male"
"6",6,2.09090909090909,2.45454545454545,2.27272727272727,"Female"
"7",7,2.63636363636364,2.18181818181818,2.40909090909091,"Male"
"8",8,1.90909090909091,2.45454545454545,2.18181818181818,"Female"
"9",9,1.63636363636364,0.636363636363636,1.13636363636364,"Male"
"10",10,1.36363636363636,2.09090909090909,1.72727272727273,"Female"
"11",11,2.54545454545455,1.90909090909091,2.22727272727273,"Male"
"12",12,2,2.18181818181818,2.09090909090909,"Female"
"13",13,0.636363636363636,1.90909090909091,1.27272727272727,"Male"
"14",14,2.27272727272727,2.81818181818182,2.54545454545455,"Female"
"15",15,1.18181818181818,0.818181818181818,1,"Male"
"16",16,1.45454545454545,2.27272727272727,1.86363636363636,"Female"
"17",17,2.09090909090909,1.18181818181818,1.63636363636364,"Male"
"18",18,1.45454545454545,2.27272727272727,1.86363636363636,"Female"
"19",19,1.18181818181818,0.818181818181818,1,"Male"
"20",20,0.363636363636364,1.09090909090909,0.727272727272727,"Female"
"21",21,1.72727272727273,1,1.36363636363636,"Male"
"22",22,1.45454545454545,1.09090909090909,1.27272727272727,"Female"
"23",23,1.27272727272727,1.18181818181818,1.22727272727273,"Male"
"24",24,1.18181818181818,0.454545454545455,0.818181818181818,"Female"
"25",26,0.363636363636364,0.272727272727273,0.318181818181818,"Female"
"26",27,2.09090909090909,2.09090909090909,2.09090909090909,"Male"
"27",28,0.272727272727273,1.09090909090909,0.681818181818182,"Female"
"28",29,1.72727272727273,1.81818181818182,1.77272727272727,"Male"
"29",30,1.54545454545455,2.27272727272727,1.90909090909091,"Female"
"30",31,0.545454545454545,0,0.272727272727273,"Male"
"31",32,2.09090909090909,0.909090909090909,1.5,"Female"
"32",33,1.81818181818182,2.09090909090909,1.95454545454545,"Male"
"33",34,1.81818181818182,3.54545454545455,2.68181818181818,"Female"
"34",35,1.90909090909091,2.18181818181818,2.04545454545455,"Male"
"35",36,1.63636363636364,1.81818181818182,1.72727272727273,"Female"
"36",37,2.27272727272727,2.45454545454545,2.36363636363636,"Male"
"37",38,2.54545454545455,2.27272727272727,2.40909090909091,"Female"
"38",39,2.27272727272727,2.18181818181818,2.22727272727273,"Male"
"39",40,1.90909090909091,0.909090909090909,1.40909090909091,"Female"
"40",41,1.18181818181818,1.18181818181818,1.18181818181818,"Male"
"41",42,0.727272727272727,1.09090909090909,0.909090909090909,"Female"
"42",43,2.18181818181818,2.18181818181818,2.18181818181818,"Male"
"43",44,2,1.09090909090909,1.54545454545455,"Female"
"44",45,1.45454545454545,1.36363636363636,1.40909090909091,"Male"
"45",46,0.636363636363636,1,0.818181818181818,"Female"
"46",47,1.63636363636364,2,1.81818181818182,"Male"
"47",48,1.63636363636364,2.90909090909091,2.27272727272727,"Female"
"48",49,3.18181818181818,2.27272727272727,2.72727272727273,"Male"
"49",50,1.36363636363636,1.72727272727273,1.54545454545455,"Female"
"50",51,2.72727272727273,1.72727272727273,2.22727272727273,"Male"
"51",52,1.63636363636364,2,1.81818181818182,"Female"
"52",53,2.45454545454545,1,1.72727272727273,"Male"
"53",54,1.18181818181818,1,1.09090909090909,"Female"
"54",55,2.18181818181818,1.63636363636364,1.90909090909091,"Male"
"55",56,1.45454545454545,2.81818181818182,2.13636363636364,"Female"
"56",57,1.27272727272727,0.545454545454545,0.909090909090909,"Male"
"57",58,1.27272727272727,2,1.63636363636364,"Female"
"58",59,2.63636363636364,1.54545454545455,2.09090909090909,"Male"
"59",60,2.45454545454545,1.63636363636364,2.04545454545455,"Female"
"60",61,1.81818181818182,2.09090909090909,1.95454545454545,"Male"
"61",62,1.45454545454545,1.45454545454545,1.45454545454545,"Female"
"62",63,2.18181818181818,1.54545454545455,1.86363636363636,"Male"
"63",64,0.818181818181818,1.18181818181818,1,"Female"
